f,f,f,f
TM_TRACK,17,Instrumentation,67737791535999
TM_TRACK,65536,Main Thread,67737791001426
TM_TRACK,65537,Telemetry,18446744073709551614
TM_TRACK,65538,INSTRUMENTATION_COLLECTOR,67737792826977
TM_TRACK,65544,animation,67737798625029
TM_TRACK,65545,Thread 10,67737801175629
TM_TRACK,65549,DNS_MANAGER,67737856683315
TM_TRACK,65550,NBP_POOL0,67737857694468
TM_TRACK,65551,NBP_POOL1,67737858787521
TM_TRACK,65552,milo,67737863201619
TM_TRACK,65554,x11,67738246067700
TM_TRACK,65557,Thread 22,67740741181893
TM_TRACK,65558,MEDIASOURCE,67740852321675
TM_TRACK,65559,MEDIASOURCE 1,67740853807926
TM_TRACK,65560,HTTPREQUEST_MANAGER,67740857910375
TM_TRACK,65561,Thread 26,67740918742614
TM_TRACK,65562,Thread 27,67745509858689
TM_TRACK,65563,Thread 28,67746296223294
TM_TRACK,65564,Thread 29,67746379254840
